testtopic	questionid	question	optiona	optionb	optionc	optiond	optione	optionf
111-Programming-with-C-Test	138555	Which of the following define the rules for .Net Languages?	GAC	CLS	CLI	CTS	CLR	JIT
111-Programming-with-C-Test	138556	What type of code is written to avail the services provided by Common Language Runtime?	MSIL	Unmanaged code	Managed Code	C#/VB/JS		
111-Programming-with-C-Test	138557	Which of the following is true for CLR?	It is an interoperation between managed code, COM objects, and pre-existing DLL's (unmanaged code and data)	It is a software Output Unit of Deployment and a unit of versioning that contains MSIL code	It is the primary building block of a .NET Framework application and a collection of functionality that is built, versioned, and deployed as a single implementation unit	All of the above<br>		
111-Programming-with-C-Test	44176	Which of the following are not C# value types?	long	bool	struct	class	string	
111-Programming-with-C-Test	44177	Which of the following are reference type data in C#?	int32	int128	string	struct	class	decimal<br>
111-Programming-with-C-Test	44178	"Consider the following code:<br><br>

    class Program<br>
    {<br>
        static void Main(string[] args)<br>
        {<br>
            byte    b = 0;<br>
            int     i = 0;<br>
            uint    ui = 0;<br>
            sbyte   sb = 0;<br><br>

            PrintInt(b);     // Statement 1<br>
            PrintInt(i);     // Statement 2<br>
            PrintInt(ui);    // Statement 3<br>
            PrintInt(sb);    // Statement 4<br>
        }<br><br>

        static private void PrintInt(int n)<br>
        {<br>
            Console.WriteLine(n.ToString());<br>
        }<br><br>

Which of the following are true?"	Statement 1 will generate a compilation error	Statement 3 will generate a compilation error	Statement 4 will generate a compilation error	No compilation error will be generated<br>		
111-Programming-with-C-Test	44179	Consider the following statements and pick the most appropriate option:<br><br>Statement 1: Value type variables store their data on the heap.<br>Statement 2: Reference type variables store their data on the stack.<br>	Statement 1 is true and Statement 2 is false	Statement 2 is true and Statement 1 is false	Both Statements 1 and 2 are true	Both Statements 1 and 2 are false<br><br>		
111-Programming-with-C-Test	44181	"Consider the following code:
class Program<br>
{<br>
static void Main(string[] args)<br>
{<br>
float f = 0;<br>
double d = 0;<br>
decimal dc = 0;<br><br>
PrintDouble(f); // Statement 1<br>
PrintDouble(d); // Statement 2<br>
PrintDouble(dc);   // Statement 3<br>
}<br>
static private void PrintDouble(double d)<br>
{<br>
Console.WriteLine(d.ToString());<br>
}<br><br>
Which of the following are true?"	Statement 1 will generate a compilation error	Statement 2 will generate a compilation error	Statement 3 will generate a compilation error	No compilation error will be generated		
111-Programming-with-C-Test	44182	"What is the output of the following code:<br><br>
class CCheck<br>
{<br>
public static void Main()<br>
{<br>
string str = @""E:\\RIL\\test.cs"";<br><br>
Console.WriteLine(str);<br>
}<br>
}"	"""E:\\RIL\\test.cs"""	E:\\RIL\\test.cs	"""E:\RIL\test.cs"""	The compiler will generate an error saying undefined symbol '@'		
111-Programming-with-C-Test	44184	"What is wrong with the code given below:<br><br>
class CCheck<br>
{<br>
public static void Main()<br>
&nbsp;&nbsp;&nbsp;{<br>
&nbsp;&nbsp;&nbsp;int nLen = 5;<br>
&nbsp;&nbsp;&nbsp;int[] arrNum = new int[nLen];<br>
&nbsp;&nbsp;&nbsp;}<br>
}"	The square brackets [] should be with arrNum instead of int	You cannot use a variable to set the size of the array	int[] should be replaced with int()	Nothing is wrong with the code. It will compile without errors		
111-Programming-with-C-Test	44185	Which of the following statements can be used for declaring a two dimensional array?<br>	"int arrNum[][];"	"int arrNum[ , ];"	"int[][] arrNum;"	"int [ , ] arrNum;<br><br>"		
111-Programming-with-C-Test	44186	Complete the following sentence:<br><br>When unboxing occurs.......<br>	The contents of a value type are copied from the stack into the memory allocated on the managed heap	Memory is copied from the managed heap to the stack	All the local variables within a function are unboxed from a class	"All the variables within a function are unboxed from a class
"		
111-Programming-with-C-Test	44187	What happens if you use Statement 2 instead of Statement 1?<br><br>Statement 1: if(nCount == 0) <br>Statement 2: if(nCount = 0)<br><br>	The code will not compile	If nCount is equal to 0, the expression will evaluate to true, otherwise it will evaluate to false (implicit conversion from = to == will take place) 	"The value 0&nbsp;&nbsp;is assigned to nCount and the expression evaluates to true"	"The value 0&nbsp;&nbsp;is assigned to nCount and the expression evaluates to false<br><br>"		
